Acc_Index	Vehicle_Reference	Casualty_Reference	Casualty_Class	Sex_of_Casualty	Age_Band_of_Casualty	Casualty_Severity	Pedestrian_Location	Pedestrian_Movement	Car_Passenger	Bus_or_Coach_Passenger	Pedestrian_Road_Maintenance_Worker	Casualty_Type	Casualty_Home_Area_Type	Accident_Index	Location_Easting_OSGR	Location_Northing_OSGR	Longitude	Latitude	Police_Force	Accident_Severity	Number_of_Vehicles	Number_of_Casualties	Date	Day_of_Week	Time	Local_Authority_(District)	Local_Authority_(Highway)	1st_Road_Class	1st_Road_Number	Road_Type	Speed_limit	Junction_Detail
2016051600010	1	1	3	2  (Female)	10  (66 - 75)	2  (Serious)	5	3	0	0	0	0  (Pedestrian)	1	2016051600010	335633	390785	-2.968419	53.409687	5  (Merseyside)	2	1	1	02/01/2016	7	11:15	91	E08000012  (Liverpool)	3	57	2	20	3
2016051600023	2	3	1	1  (Male)	11  (Over 75)	2  (Serious)	0	0	0	0	0	9  ('Car occupant')	1	2016051600023	326163	386479	-3.109863	53.369745	5  (Merseyside)	2	2	3	04/01/2016	2	08:10	95	E08000015  (Wirral)	6	0	6	60	0
2016051600034	1	1	3	1  (Male)	09  (56 - 65)	2  (Serious)	5	1	0	0	0	0  (Pedestrian)	1	2016051600034	330686	391778	-3.043053	53.417985	5  (Merseyside)	2	1	1	04/01/2016	2	19:15	95	E08000015  (Wirral)	3	5088	6	30	9
2016051600038	1	1	3	1  (Male)	03  (11 - 15)	2  (Serious)	1	1	0	0	0	0  (Pedestrian)	1	2016051600038	344178	385114	-2.838871	53.359685	5  (Merseyside)	2	1	1	05/01/2016	3	08:20	90	E08000011  (Knowsley)	6	0	6	30	0
2016051600042	2	1	1	1  (Male)	04  (16 - 20)	2  (Serious)	0	0	0	0	0	9  ('Car occupant')	1	2016051600042	337965	392616	-2.933699	53.426424	5  (Merseyside)	2	4	1	05/01/2016	3	15:00	91	E08000012  (Liverpool)	6	0	6	30	3
2016051600044	1	1	1	2  (Female)	07  (36 - 45)	2  (Serious)	0	0	0	0	0	9  ('Car occupant')	1	2016051600044	331925	383246	-3.022573	53.341459	5  (Merseyside)	2	2	3	05/01/2016	3	14:20	95	E08000015  (Wirral)	4	5151	3	60	0
2016051600058	1	1	3	1  (Male)	10  (66 - 75)	2  (Serious)	5	3	0	0	0	0  (Pedestrian)	1	2016051600058	335485	415860	-2.975811	53.635046	5  (Merseyside)	2	1	1	06/01/2016	4	17:25	93	E08000014  (Sefton)	3	570	6	30	0
2016051600060	1	1	1	1  (Male)	10  (66 - 75)	2  (Serious)	0	0	0	0	0	1  (Cyclist)	1	2016051600060	333578	395134	-3.000249	53.448522	5  (Merseyside)	2	2	1	07/01/2016	5	06:40	93	E08000014  (Sefton)	3	565	3	30	6
2016051600067	2	1	1	1  (Male)	08  (46 - 55)	2  (Serious)	0	0	0	0	0	3  ('Motorcyclist')	1	2016051600067	337462	386975	-2.94015	53.375661	5  (Merseyside)	2	2	1	07/01/2016	5	15:10	91	E08000012  (Liverpool)	3	561	3	30	0
2016051600071	1	1	3	1  (Male)	03  (11 - 15)	2  (Serious)	5	1	0	0	0	0  (Pedestrian)	1	2016051600071	333079	386698	-3.005972	53.372634	5  (Merseyside)	2	1	1	07/01/2016	5	19:25	95	E08000015  (Wirral)	6	0	6	30	6
2016051600078	1	1	3	2  (Female)	11  (Over 75)	2  (Serious)	5	1	0	0	0	0  (Pedestrian)	1	2016051600078	331542	388645	-3.029494	53.389937	5  (Merseyside)	2	1	1	07/01/2016	5	12:25	95	E08000015  (Wirral)	6	0	6	30	0
2016051600099	1	1	3	2  (Female)	02  (6 - 10)	2  (Serious)	1	3	0	0	0	0  (Pedestrian)	1	2016051600099	342130	392793	-2.871052	53.428489	5  (Merseyside)	2	1	1	09/01/2016	7	20:25	91	E08000012  (Liverpool)	6	0	6	30	3
2016051600137	1	1	3	2  (Female)	11  (Over 75)	2  (Serious)	4	3	0	0	0	0  (Pedestrian)	1	2016051600137	337348	420309	-2.948534	53.67526	5  (Merseyside)	2	1	1	12/01/2016	3	16:30	93	E08000014  (Sefton)	6	0	6	30	3
2016051600138	1	1	1	1  (Male)	06  (26 - 35)	2  (Serious)	0	0	0	0	0	3  ('Motorcyclist')	1	2016051600138	353065	393955	-2.706648	53.44002	5  (Merseyside)	2	2	1	12/01/2016	3	15:45	92	E08000013  (St. Helens)	6	0	6	30	6
